from,to,year,type,pps
CDL,AG,2018,1,"0,8"
MAP,CDL,2018,2,"0,2"
SEFC,VMO,2018,1,"0,6"
JC,SEFC,2018,2,"2,6"
RCD,QSF,2018,1,"0,2"
QSF,DG,2018,2,"2,6"
RSO,EU,2018,1,"0,8"
IA,RSO,2018,2,2
UDLE,JMU,2018,1,"0,2"
PLO,UDLE,2018,2,2
DLC,CPA,2018,1,"0,4"
CS,DLC,2018,2,"0,4"
FCM,MI,2018,1,"0,6"
JOG,FCM,2018,2,"0,4"
SEFC,EBE,2017,1,"1,4"
VMO,SEFC,2017,2,"0,8"
UDLP,PAY,2017,1,"0,2"
PJ,UDLP,2017,2,"1,2"
DLC,PME,2017,1,"1,4"
CPA,DLC,2017,2,"0,8"
VICF,FE,2017,1,"1,4"
JAC,VICF,2017,2,"2,6"
UDLP,MAMA,2017,1,"1,2"
PAY,UDLP,2017,2,0
ALA,AB,2017,1,0
GDB,ALA,2017,2,"0,6"
ALA,JACA,2017,1,"0,6"
AB,ALA,2017,2,"1,8"
VCF,PAY,2016,1,0
VO,VCF,2016,2,2
GRFC,PJ,2016,1,"0,2"
LAL,GRFC,2016,2,"0,6"
VCF,VO,2016,1,"1,2"
CPR,VCF,2016,2,1
RBE,GPO,2016,1,"0,6"
VSA,RBE,2016,2,"1,4"
FCM,JR,2016,1,"1,2"
MRO,FCM,2016,2,"0,2"
VCF,CPR,2016,1,1
VO,VCF,2016,2,"1,2"
CAO,JC,2017,1,0
PVA,CAO,2017,2,"0,6"
SG,AB,2017,1,"0,6"
RU,SG,2017,2,"0,8"
DLC,GGA,2017,1,"0,2"
PME,DLC,2017,2,"1,6"
FCM,MRO,2017,1,"0,8"
MI,FCM,2017,2,"1,4"
GRFC,LAL,2017,1,"0,2"
TAD,GRFC,2017,2,0
RBE,VSA,2017,1,"1,2"
ATR,RBE,2017,2,1
RBE,ATR,2017,1,"0,4"
QS,RBE,2017,2,"1,8"
UDLP,QS,2017,1,0
MAMA,UDLP,2017,2,"1,2"
VCF,VO,2017,1,1
MAR,VCF,2017,2,"1,8"
ABI,EV,2017,1,"1,4"
CZ,ABI,2017,2,"1,4"
ALA,MAP,2017,1,"2,2"
LZ,ALA,2017,2,0
FCBA,LEN,2017,1,3
EV,FCBA,2017,2,3
RCC,EBE,2017,1,"2,6"
JCU,RCC,2017,2,"1,4"
VICF,MAR,2016,1,"0,8"
FE,VICF,2016,2,"1,8"
CAO,EMA,2016,1,1
JC,CAO,2016,2,0
SEFC,JS,2017,1,"1,4"
EBE,SEFC,2017,2,"2,6"
FCM,JG,2016,1,"1,4"
JR,FCM,2016,2,1
RCD,COG,2016,1,"1,4"
QSF,RCD,2016,2,1
DLC,VSA,2016,1,"0,8"
GGA,DLC,2016,2,1
UDLE,RU,2016,1,"0,8"
JMU,UDLE,2016,2,"1,8"
SEFC,UM,2016,1,"0,6"
JS,SEFC,2016,2,"2,2"
GRFC,JOG,2016,1,"1,8"
PJ,GRFC,2016,2,"0,4"
RBE,JME,2016,1,1
GPO,RBE,2016,2,1
GCF,FE,2016,1,"0,4"
JE,GCF,2016,2,"1,6"
VCF,GN,2016,1,"0,6"
PAY,VCF,2016,2,2
GRFC,JRS,2016,1,"0,6"
JOG,GRFC,2016,2,"1,6"
RBE,PME,2016,1,"0,2"
JME,RBE,2016,2,
RM,RB,2016,1,2
ZIZI,RM,2016,2,"2,6"
RCD,SE,2015,1,"0,8"
COG,RCD,2015,2,"0,8"
VCF,NES,2015,1,"1,4"
VO,VCF,2015,2,"1,6"
VCF,VO,2015,1,"1,6"
GN,VCF,2015,2,"0,6"
RSO,DM,2015,1,"0,6"
EU,RSO,2015,2,"1,4"
UDLE,LAL,2015,1,"0,8"
RU,UDLE,2015,2,1
UDLP,PHE,2015,1,"0,6"
QS,UDLP,2015,2,1
RM,CA,2015,1,"2,6"
RB,RM,2015,2,"2,6"
SDEI,GGA,2015,1,"0,8"
JLM,SDEI,2015,2,"1,6"
GCF,PAF,2015,1,"0,2"
FE,GCF,2015,2,"0,6"
GRFC,ARE,2015,1,"0,4"
JRS,GRFC,2015,2,2
DLC,VF,2015,1,"0,4"
VSA,DLC,2015,2,"0,6"
UDA,JIM,2015,1,"0,4"
SBA,UDA,2015,2,"1,2"
FCCO,MD,2015,1,0
JARO,FCCO,2015,2,"0,4"
GCF,QSF,2015,1,"1,8"
PAF,GCF,2015,2,"1,2"
GRFC,JC,2015,1,"0,4"
ARE,GRFC,2015,2,1
GCF,CCO,2015,1,"0,6"
QSF,GCF,2015,2,"1,2"
UDA,FR,2014,1,"0,2"
JIM,UDA,2014,2,"1,2"
RSO,JAR,2014,1,"0,8"
DM,RSO,2014,2,"1,2"
FCCO,AFE,2014,1,"0,4"
MD,FCCO,2014,2,"0,6"
UDLE,JLM,2014,1,"0,8"
LAL,UDLE,2014,2,"1,4"
VCF,JAP,2014,1,1
VO,VCF,2014,2,"1,6"
DLC,FV,2014,1,"0,8"
VF,DLC,2014,2,"0,8"
UDLE,JC,2014,1,"1,6"
JLM,UDLE,2014,2,"0,8"
RCD,JAG,2014,1,"0,2"
SE,RCD,2014,2,1
FCM,BSCHU,2014,1,"1,4"
JG,FCM,2014,2,"1,2"
FCBA,GMAR,2014,1,"1,8"
LEN,FCBA,2014,2,"2,6"
GRFC,LAL,2014,1,"0,8"
JC,GRFC,2014,2,"1,6"
RCC,LEN,2014,1,"2,4"
EBE,RCC,2014,2,"1,8"
FCBA,TV,2013,1,3
GMAR,FCBA,2013,2,3
CAO,JLM,2013,1,"0,6"
JG,CAO,2013,2,"1,2"
RBE,PME,2013,1,"0,4"
JCG,RBE,2013,2,"0,2"
VCF,MD,2013,1,0
NE,VCF,2013,2,"0,8"
VCF,NE,2013,1,"0,8"
JAP,VCF,2013,2,"1,6"
RBE,JCG,2014,1,"0,2"
GCA,RBE,2014,2,"0,6"
GCF,LG,2014,1,"0,4"
CCO,GCF,2014,2,"0,8"
RCD,MP,2012,1,"0,8"
JAG,RCD,2012,2,"1,2"
VCF,MAP,2012,1,"1,4"
EV,VCF,2012,2,"2,4"
DLC,JLO,2012,1,"0,4"
DP,DLC,2012,2,"0,8"
SEFC,MI,2013,1,"0,8"
UM,SEFC,2013,2,2
FCBA,TV,2013,1,"2,4"
JRO,FCBA,2013,2,"2,6"
GRFC,JANQ,2013,1,"1,4"
LAL,GRFC,2013,2,"1,2"
RCDM,JC,2013,1,"0,2"
GMA,RCDM,2013,2,"1,4"
DLC,DP,2013,1,"0,2"
FV,DLC,2013,2,"0,8"
RCC,PHE,2013,1,"0,4"
ARE,RCC,2013,2,"0,8"
FCBA,JRO,2013,1,2
TV,FCBA,2013,2,"2,6"
RCC,ARE,2013,1,"1,4"
LEN,RCC,2013,2,"1,2"
RVAD,MD,2013,1,"0,6"
JIM,RVAD,2013,2,"0,8"
UDLE,JIM,2013,1,"1,2"
JC,UDLE,2013,2,"1,2"
VCF,EV,2013,1,"2,4"
MD,VCF,2013,2,"1,2"
RSO,PMO,2013,1,"1,6"
JAR,RSO,2013,2,"1,2"
ABI,MBI,2013,1,"1,6"
EV,ABI,2013,2,"1,8"
RM,JM,2013,1,"2,2"
CA,RM,2013,2,"2,6"
FCM,MPE,2013,1,"0,8"
BSCHU,FCM,2013,2,1
RV,JRS,2012,1,"0,6"
PJ,RV,2012,2,"1,4"
FCBA,PGU,2012,1,2
TV,FCBA,2012,2,3
VCF,UM,2012,1,"1,8"
MAP,VCF,2012,2,1
GRFC,ARE,2012,1,"1,2"
LAL,GRFC,2012,2,"1,2"
VICF,JFM,2012,1,"0,2"
MALO,VICF,2012,2,"1,6"
RSA,JOG,2012,1,"0,6"
ACE,RSA,2012,2,"0,2"
SEFC,MAR,2012,1,"0,4"
MI,SEFC,2012,2,"1,4"
SG,ITE,2012,1,"0,8"
JACL,SG,2012,2,1
VICF,JCG,2011,1,"0,8"
JFM,VICF,2011,2,"1,6"
AM,GMA,2011,1,"1,2"
DSI,AM,2011,2,"2,2"
SAR,JAG,2011,1,0
MJI,SAR,2011,2,"0,4"
RSA,HCU,2011,1,1
JOG,RSA,2011,2,"2,2"
RCDM,ML,2011,1,"0,8"
JC,RCDM,2011,2,"0,6"
GRFC,FGO,2011,1,"0,6"
ARE,GRFC,2011,2,"1,8"
